Time[s], Channel 1
0.00000000, 0
1.78388930, 1
1.78388993, 0
1.78588541, 1
1.78588599, 0
1.78788086, 1
1.78788144, 0
1.78987679, 1
1.78987737, 0
1.79187221, 1
1.79187279, 0
1.79386806, 1
1.79386864, 0
1.79586407, 1
1.79586465, 0
1.79785966, 1
1.79786024, 0
1.79985559, 1
1.79985617, 0
1.80185163, 1
1.80185221, 0
1.80983413, 1
1.80983664, 0
1.81183022, 1
1.81183254, 0
1.81382607, 1
1.81382839, 0
1.81582202, 1
1.81582434, 0
1.81781744, 1
1.81781975, 0
1.81981269, 1
1.81981500, 0
1.82180847, 1
1.82181078, 0
1.82380378, 1
1.82380609, 0
1.82579862, 1
1.82580094, 0
1.82779410, 1
1.82779641, 0
1.85173809, 1
1.85173884, 0
1.85373426, 1
1.85373496, 0
1.85572977, 1
1.85573046, 0
1.85772456, 1
1.85772526, 0
1.85971935, 1
1.85972005, 0
1.86171449, 1
1.86171518, 0
1.86370988, 1
1.86371058, 0
1.86570531, 1
1.86570601, 0
1.86770127, 1
1.86770196, 0
1.86969724, 1
1.86969794, 0
1.87767682, 1
1.87767933, 0
1.87967142, 1
1.87967374, 0
1.88166622, 1
1.88166854, 0
1.88366015, 1
1.88366247, 0
1.88565486, 1
1.88565718, 0
1.88764957, 1
1.88765189, 0
1.88964449, 1
1.88964680, 0
1.89163942, 1
1.89164174, 0
1.89363441, 1
1.89363672, 0
1.89562911, 1
1.89563143, 0
1.91956704, 1
1.91956803, 0
1.92156228, 1
1.92156321, 0
1.92355708, 1
1.92355802, 0
1.92555137, 1
1.92555230, 0
1.92754598, 1
1.92754692, 0
1.92954103, 1
1.92954196, 0
1.93153613, 1
1.93153707, 0
1.93353083, 1
1.93353176, 0
1.93552568, 1
1.93552661, 0
1.93752040, 1
1.93752134, 0
1.94549963, 1
1.94550268, 0
1.94749515, 1
1.94749792, 0
1.94949037, 1
1.94949314, 0
1.95148568, 1
1.95148845, 0
1.95348069, 1
1.95348346, 0
1.95547547, 1
1.95547823, 0
1.95747015, 1
1.95747291, 0
1.95946583, 1
1.95946860, 0
1.96146107, 1
1.96146383, 0
1.96345654, 1
1.96345930, 0
1.98739415, 1
1.98739561, 0
1.98938840, 1
1.98938981, 0
1.99138256, 1
1.99138397, 0
1.99337711, 1
1.99337852, 0
1.99537185, 1
1.99537326, 0
1.99736654, 1
1.99736795, 0
1.99936157, 1
1.99936298, 0
2.00135695, 1
2.00135836, 0
2.00335209, 1
2.00335350, 0
2.00534692, 1
2.00534833, 0
2.01332796, 1
2.01333146, 0
2.01532224, 1
2.01532546, 0
2.01731626, 1
2.01731947, 0
2.01931022, 1
2.01931344, 0
2.02130456, 1
2.02130777, 0
2.02329873, 1
2.02330195, 0
2.02529320, 1
2.02529641, 0
2.02728783, 1
2.02729105, 0
2.02928199, 1
2.02928520, 0
2.03127709, 1
2.03128030, 0
2.05521596, 1
2.05521837, 0
2.05721121, 1
2.05721357, 0
2.05920592, 1
2.05920828, 0
2.06120070, 1
2.06120306, 0
2.06319552, 1
2.06319788, 0
2.06519054, 1
2.06519290, 0
2.06718535, 1
2.06718771, 0
2.06918021, 1
2.06918257, 0
2.07117489, 1
2.07117725, 0
2.07317015, 1
2.07317251, 0
2.08115084, 1
2.08115525, 0
2.08314643, 1
2.08315057, 0
2.08514165, 1
2.08514578, 0
2.08713719, 1
2.08714132, 0
2.08913242, 1
2.08913656, 0
2.09112756, 1
2.09113169, 0
2.09312262, 1
2.09312675, 0
2.09511791, 1
2.09512204, 0
2.09711348, 1
2.09711762, 0
2.09910902, 1
2.09911316, 0
2.12305441, 1
2.12305873, 0
2.12504967, 1
2.12505393, 0
2.12704494, 1
2.12704921, 0
2.12904079, 1
2.12904505, 0
2.13103633, 1
2.13104059, 0
2.13303182, 1
2.13303609, 0
2.13502815, 1
2.13503242, 0
2.13702458, 1
2.13702885, 0
2.13902030, 1
2.13902456, 0
2.14101619, 1
2.14102046, 0
2.14900223, 1
2.14900845, 0
2.15099831, 1
2.15100428, 0
2.15299441, 1
2.15300037, 0
2.15499058, 1
2.15499654, 0
2.15698641, 1
2.15699237, 0
2.15898283, 1
2.15898879, 0
2.16097936, 1
2.16098533, 0
2.16297551, 1
2.16298147, 0
2.16497172, 1
2.16497768, 0
2.16696781, 1
2.16697376, 0
2.19091731, 1
2.19092544, 0
2.19291249, 1
2.19292055, 0
2.19490653, 1
2.19491460, 0
2.19690150, 1
2.19690957, 0
2.19889703, 1
2.19890510, 0
2.20089241, 1
2.20090048, 0
2.20288812, 1
2.20289619, 0
2.20488379, 1
2.20489186, 0
2.20687939, 1
2.20688746, 0
2.20887490, 1
2.20888297, 0
2.21685629, 1
2.21686570, 0
2.21885150, 1
2.21886064, 0
2.22084655, 1
2.22085568, 0
2.22284168, 1
2.22285081, 0
2.22483695, 1
2.22484608, 0
2.22683262, 1
2.22684175, 0
2.22882861, 1
2.22883774, 0
2.23082424, 1
2.23083337, 0
2.23281962, 1
2.23282875, 0
2.23481451, 1
2.23482364, 0
2.25975705, 1
2.25977280, 0
2.26175237, 1
2.26176805, 0
2.26374777, 1
2.26376345, 0
2.26574338, 1
2.26575905, 0
2.26773870, 1
2.26775438, 0
2.26973436, 1
2.26975005, 0
2.27172911, 1
2.27174478, 0
2.27372453, 1
2.27374021, 0
2.27571971, 1
2.27573539, 0
2.27771450, 1
2.27773018, 0
2.28569355, 1
2.28570979, 0
2.28768839, 1
2.28770434, 0
2.28968300, 1
2.28969895, 0
2.29167802, 1
2.29169397, 0
2.29367292, 1
2.29368887, 0
2.29566800, 1
2.29568395, 0
2.29766306, 1
2.29767901, 0
2.29965828, 1
2.29967422, 0
2.30165323, 1
2.30166918, 0
2.30364819, 1
2.30366415, 0
2.32858882, 1
2.32861980, 0
2.33058514, 1
2.33061606, 0
2.33258142, 1
2.33261233, 0
2.33457700, 1
2.33460789, 0
2.33657273, 1
2.33660364, 0
2.33856909, 1
2.33859998, 0
2.34056503, 1
2.34059592, 0
2.34256097, 1
2.34259187, 0
2.34455651, 1
2.34458740, 0
2.34655216, 1
2.34658303, 0
2.35453382, 1
2.35456369, 0
2.35652945, 1
2.35655906, 0
2.35852521, 1
2.35855480, 0
2.36052082, 1
2.36055040, 0
2.36251608, 1
2.36254569, 0
2.36451173, 1
2.36454132, 0
2.36650707, 1
2.36653666, 0
2.36850264, 1
2.36853224, 0
2.37049872, 1
2.37052833, 0
2.37249511, 1
2.37252471, 0
2.39743936, 1
2.39750075, 0
2.39943479, 1
2.39949609, 0
2.40143064, 1
2.40149197, 0
2.40342690, 1
2.40348820, 0
2.40542234, 1
2.40548364, 0
2.40741823, 1
2.40747954, 0
2.40941392, 1
2.40947521, 0
2.41140940, 1
2.41147071, 0
2.41340472, 1
2.41346601, 0
2.41540027, 1
2.41546157, 0
2.42338124, 1
2.42343838, 0
2.42537659, 1
2.42543346, 0
2.42737202, 1
2.42742889, 0
2.42936773, 1
2.42942459, 0
2.43136294, 1
2.43141979, 0
2.43335817, 1
2.43341505, 0
2.43535387, 1
2.43541074, 0
2.43734865, 1
2.43740549, 0
2.43934372, 1
2.43940058, 0
2.44133862, 1
2.44139548, 0
2.46627654, 1
2.46639872, 0
2.46827176, 1
2.46839389, 0
2.47026724, 1
2.47038936, 0
2.47226245, 1
2.47238454, 0
2.47425769, 1
2.47437977, 0
2.47625317, 1
2.47637535, 0
2.47824901, 1
2.47837116, 0
2.48024444, 1
2.48036656, 0
2.48223970, 1
2.48236184, 0
2.48423587, 1
2.48435801, 0
2.49221685, 1
2.49232804, 0
2.49421130, 1
2.49432217, 0
2.49620634, 1
2.49631722, 0
2.49820194, 1
2.49831284, 0
2.50019756, 1
2.50030851, 0
2.50219274, 1
2.50230366, 0
2.50418784, 1
2.50429876, 0
2.50618279, 1
2.50629369, 0
2.50817810, 1
2.50828905, 0
2.51017343, 1
2.51028436, 0
2.53512356, 1
2.53536754, 0
2.53711981, 1
2.53736364, 0
2.53911605, 1
2.53935990, 0
2.54111256, 1
2.54135649, 0
2.54310913, 1
2.54335297, 0
2.54510541, 1
2.54534936, 0
2.54710215, 1
2.54734598, 0
2.54909827, 1
2.54934207, 0
2.55109463, 1
2.55133848, 0
2.55309051, 1
2.55333434, 0
2.56107678, 1
2.56129679, 0
2.56307292, 1
2.56329255, 0
2.56506864, 1
2.56528818, 0
2.56706454, 1
2.56728414, 0
2.56906063, 1
2.56928025, 0
2.57105688, 1
2.57127645, 0
2.57305274, 1
2.57327230, 0
2.57504787, 1
2.57526736, 0
2.57704279, 1
2.57726226, 0
2.57903721, 1
2.57925663, 0
2.60397538, 1
2.60446253, 0
2.60696854, 1
2.60745553, 0
2.60996170, 1
2.61044884, 0
2.61295611, 1
2.61344323, 0
2.61595055, 1
2.61643773, 0
2.61894416, 1
2.61943112, 0
2.62193712, 1
2.62242418, 0
2.62493063, 1
2.62541780, 0
2.62792450, 1
2.62841158, 0
2.63091804, 1
2.63140506, 0
2.63889906, 1
2.63933607, 0
2.64189202, 1
2.64232861, 0
2.64488446, 1
2.64532105, 0
2.64787738, 1
2.64831399, 0
2.65087025, 1
2.65130677, 0
2.65386315, 1
2.65429979, 0
2.65685575, 1
2.65729246, 0
2.65984866, 1
2.66028537, 0
2.66284124, 1
2.66327793, 0
2.66583406, 1
2.66627071, 0
